layer_id,path,source_family,reference_period,territorial_level,statistical_unit,role,canonical,license_note,exists,rows,columns
communal_master_2026,data/communal_master/chile_digital_inclusion_communes_2026_integrated.csv,Integrated public layer,2024-2026,commune,mixed; see variable dictionary,canonical integrated communal analytical table,yes,Mixed-source derivative; source-specific terms apply,yes,346,89
censo_connectivity_2024,data/censo_2024/communes_connectivity_2024.csv,INE / Censo 2024,2024,commune,household,structural household connectivity and equipment,yes,Public source; retain source attribution,yes,346,26
censo_social_context_2024,data/censo_2024/communes_social_context_2024.csv,INE / Censo 2024,2024,commune,household,communal household and social context,yes,Public source; retain source attribution,yes,346,18
casen_national_2024,data/casen_national_2024.csv,MDSF / CASEN 2024,2024,national,weighted person,national access and social-gap benchmark,yes,Derived aggregate from public survey; retain source attribution,yes,1,9
casen_macrozone_2024,data/casen_macrozones_2024.csv,MDSF / CASEN 2024,2024,macrozone,weighted person,macro-territorial social and connectivity comparison,yes,Derived aggregate from public survey; retain source attribution,yes,4,10
subtel_longitudinal_access,data/subtel_longitudinal/subtel_household_digital_access_2015_2025.csv,SUBTEL access/use surveys,2015-2025,national / urban-rural,household,harmonized household access series,yes,Derived aggregate from official public survey waves,yes,6,13
subtel_microdata_inventory,data/subtel_microdata/processed_base_catalog.csv,SUBTEL access/use survey SAV files,2008-2025,survey metadata,base/questionnaire metadata,processed-wave and weighting audit catalog,yes,Metadata/aggregates only; original microdata are not republished,yes,12,10
subtel_segmented_access,data/subtel_segments/household_paid_access_by_segment_2015_2025.csv,SUBTEL access/use survey SAV files,2015-2025 comparable waves,national / region / urban-rural / verified SES,weighted household,segmented household access estimates,yes,Derived aggregate; small cells suppressed where applicable,yes,127,15
subtel_affordability,data/affordability/subtel_willingness_to_pay_2023_2025.csv,SUBTEL access/use surveys,2023-2025,national,weighted household / respondent universe,declared willingness to pay; not market price,yes,Derived aggregate from official public survey waves,yes,5,17
subtel_sector_2026q1,data/subtel_sector_2026/sector_snapshot_2026q1.csv,SUBTEL sector statistics,2026Q1,national,connection / sector estimate,current sector context and technology mix,yes,Public source; retain source attribution,yes,25,9
subtel_sector_longitudinal_2026m03,data/subtel_sector_series/sector_core_monthly_long.csv,SUBTEL administrative Internet series,effective workbook ranges through 2026-03,national monthly,connection / traffic aggregate,canonical longitudinal fixed/mobile connection and traffic series,yes,Public official XLSX sources; provenance discrepancies are retained rather than force-reconciled,yes,2052,9
subtel_oti_fixed_speed_2026m01,data/oti_2026/regional_fixed_speed_2026_01.csv,SUBTEL / Organismo Técnico Independiente,2026-01,region,OTI fixed Internet measurement aggregate,official regional fixed-speed benchmark kept separate from Ookla,yes,Public official publication; measurement system and universe differ from Ookla and household access statistics,yes,16,9
subtel_mobile_network_2025m03,data/mobile_coverage_2025/commune_mobile_network_points_2025_03.csv,SUBTEL ArcGIS 4G/5G,2025-03,commune,published network point record,observable public mobile-network records by operator and technology,yes,Public regulatory records; counts are not unique towers or coverage rates,yes,346,18
subtel_fixed_connections_communal_2026m03,data/fixed_infrastructure_2026/commune_fixed_connections_2026_03.csv,SUBTEL administrative fixed Internet workbook,2026-03,commune,administrative fixed connection,reconciled communal total and residential fixed Internet connections,yes,"Public official XLSX source; reconstructed from formula-defined regional blocks. Antártica (12202) is an explicit source blank, not an imputed zero",yes,346,13
subtel_fixed_redacceso_presence,data/fixed_access_infrastructure/commune_fixed_access_presence.csv,SUBTEL ArcGIS RedAcceso,public service snapshot 2026-08,commune,public linework layer / operator presence,public fixed-access linework presence by commune,yes,Regulatory linework presence; not retail availability or household coverage,yes,346,15
subtel_fixed_redacceso_length_audit,data/fixed_access_infrastructure/commune_fixed_access_linework.csv,SUBTEL ArcGIS RedAcceso,public service snapshot 2026-08,commune,clipped line segment,technical geodesic linework audit; not master dependency,no,Technical derivative; overlapping layers and boundary effects must be considered,yes,346,21
mineduc_aulas_establishments_2025,data/education_connectivity_2026/aulas_conectadas_2025_establishments_enriched.csv,Mineduc Aulas Conectadas + Official Establishment Directory,2025,establishment,RBD establishment,selected and waitlist establishments enriched with official territory,yes,Public administrative records; unnecessary personal/admin identifiers excluded,yes,793,23
mineduc_aulas_communal_2025,data/education_connectivity_2026/aulas_conectadas_2025_commune_summary.csv,Mineduc Aulas Conectadas + Official Establishment Directory,2025,commune,RBD establishment aggregate,communal education-connectivity program context,yes,Program selection is not installed connectivity or household access,yes,346,11
ookla_national_2026q1,data/ookla/chile_2026q1_summary.csv,Ookla Open Data,2026Q1,national,Speedtest tile/test aggregate,observed fixed and mobile network performance,yes,CC BY-NC-SA 4.0 source terms apply to derived Ookla data,yes,2,14
ookla_communal_2026q1,data/ookla/territorial/chile_2026q1_communes.csv,Ookla Open Data,2026Q1,commune × network,Speedtest tile/test aggregate,communal observed network performance,yes,CC BY-NC-SA 4.0 source terms apply to derived Ookla data,yes,683,16
commune_geography,geo/chile_communes.geojson,Biblioteca del Congreso Nacional,current public layer used in release,commune,polygon,map geometry and spatial joins,yes,Public source; retain attribution and geometry coverage caveat,yes,,
